epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.953,2.00072,3.58383,2.10198,0.00421,0.61395,0.19555,0.08534,1.89161,3.96071,2.25962,0.000455623,0.000455623,0.000455623
2,208.643,1.95362,2.9979,2.10058,0.8485,0.03385,0.13919,0.05189,2.11148,3.77269,2.39788,0.000839693,0.000839693,0.000839693
3,558.638,1.97468,2.90397,2.10075,0.29971,0.23378,0.19284,0.06355,2.04907,3.60194,2.41181,0.00112945,0.00112945,0.00112945
4,890.661,1.96561,2.68784,2.11954,0.39628,0.22546,0.17068,0.07059,2.24632,3.72251,2.70093,0.00100459,0.00100459,0.00100459
5,1134.89,1.92892,2.59856,2.07738,0.33292,0.26748,0.21002,0.08381,2.22891,3.26438,2.73567,0.000863116,0.000863116,0.000863116
6,1312.29,1.87345,2.52406,2.02073,0.61297,0.21838,0.2501,0.09891,2.19843,4.56954,2.63247,0.000721645,0.000721645,0.000721645
7,1432.99,1.8286,2.32971,1.98289,0.42736,0.39812,0.32913,0.13317,2.11633,2.87919,2.36741,0.000580174,0.000580174,0.000580174
8,1555.53,1.8244,2.24978,1.94075,0.48513,0.32442,0.35483,0.14266,2.16994,2.59135,2.36316,0.000438703,0.000438703,0.000438703
9,1675.34,1.74986,2.18014,1.89352,0.4309,0.42957,0.36677,0.15504,2.04274,2.49992,2.21605,0.000297232,0.000297232,0.000297232
10,1794.33,1.78003,2.08875,1.89157,0.5019,0.39587,0.40078,0.16974,2.03171,2.3539,2.12703,0.000155761,0.000155761,0.000155761
